Date,Confirmed,Recovered,Deaths,Region
2020-03-29T00:07:28.409Z,0,0,0,Костанайская область
2020-03-29T00:07:28.409Z,1,0,0,Кызылординская область
2020-03-29T00:07:28.409Z,0,0,0,Туркестанская область
2020-03-29T01:04:08.953Z,229,18,1,Казахстан
2020-03-29T01:04:08.953Z,135,13,1,Нур-Султан
2020-03-29T01:04:08.953Z,60,5,0,Алматы
2020-03-29T01:04:08.953Z,2,0,0,Шымкент
2020-03-29T01:04:08.953Z,6,0,0,Акмолинская область
2020-03-29T01:04:08.953Z,4,0,0,Алматинская область
2020-03-29T01:04:08.953Z,5,0,0,Атырауская область
2020-03-29T01:04:08.953Z,1,0,0,Актюбинская область
2020-03-29T01:04:08.953Z,3,0,0,Жамбылская область
2020-03-29T01:04:08.953Z,1,0,0,Павлодарская область
2020-03-29T01:04:08.953Z,1,0,0,Северо-Казахстанская область
2020-03-29T01:04:08.953Z,1,0,0,Мангистауская область
2020-03-29T01:04:08.953Z,2,0,0,Восточно-Казахстанская область
2020-03-29T01:04:08.953Z,0,0,0,Западно-Казахстанская область
2020-03-29T01:04:08.953Z,7,0,0,Карагандинская область
2020-03-29T01:04:08.953Z,0,0,0,Костанайская область
2020-03-29T01:04:08.953Z,1,0,0,Кызылординская область
2020-03-29T01:04:08.953Z,0,0,0,Туркестанская область
2020-03-29T02:03:57.897Z,229,18,1,Казахстан
2020-03-29T02:03:57.897Z,135,13,1,Нур-Султан
2020-03-29T02:03:57.897Z,60,5,0,Алматы
2020-03-29T02:03:57.897Z,2,0,0,Шымкент
2020-03-29T02:03:57.897Z,6,0,0,Акмолинская область
2020-03-29T02:03:57.897Z,4,0,0,Алматинская область
2020-03-29T02:03:57.897Z,5,0,0,Атырауская область
2020-03-29T02:03:57.897Z,1,0,0,Актюбинская область
2020-03-29T02:03:57.897Z,3,0,0,Жамбылская область
2020-03-29T02:03:57.897Z,1,0,0,Павлодарская область
2020-03-29T02:03:57.897Z,1,0,0,Северо-Казахстанская область
2020-03-29T02:03:57.897Z,1,0,0,Мангистауская область
2020-03-29T02:03:57.897Z,2,0,0,Восточно-Казахстанская область
2020-03-29T02:03:57.897Z,0,0,0,Западно-Казахстанская область
2020-03-29T02:03:57.897Z,7,0,0,Карагандинская область
2020-03-29T02:03:57.897Z,0,0,0,Костанайская область
2020-03-29T02:03:57.897Z,1,0,0,Кызылординская область
2020-03-29T02:03:57.897Z,0,0,0,Туркестанская область
2020-03-29T03:03:36.600Z,229,18,1,Казахстан
2020-03-29T03:03:36.600Z,135,13,1,Нур-Султан
2020-03-29T03:03:36.600Z,60,5,0,Алматы
2020-03-29T03:03:36.600Z,2,0,0,Шымкент
2020-03-29T03:03:36.600Z,6,0,0,Акмолинская область
2020-03-29T03:03:36.600Z,4,0,0,Алматинская область
